2025-08-23 14:40:18,151 - INFO - ========= Initializing RKLLM model =========
2025-08-23 14:40:24,918 - INFO - RKLLM Model has been initialized successfully!
2025-08-23 14:40:24,918 - INFO - Simple RKLLM Streaming Server with Jinja2 Template starting...
2025-08-23 14:40:24,918 - INFO - Server starting on port 8080
2025-08-23 14:40:24,926 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.0.0.17:8080
2025-08-23 14:40:24,926 - INFO - [33mPress CTRL+C to quit[0m
2025-08-23 14:40:56,978 - INFO - Health check request from 10.0.0.61
2025-08-23 14:40:56,980 - INFO - 10.0.0.61 - - [23/Aug/2025 14:40:56] "GET /health HTTP/1.1" 200 -
2025-08-23 14:41:02,061 - INFO - [20250823_144102_061] Chat request received from 10.0.0.61
2025-08-23 14:41:02,061 - INFO - [20250823_144102_061] Request processing started
2025-08-23 14:41:02,062 - INFO - [20250823_144102_061] Template applied, prompt length: 5256 characters
2025-08-23 14:41:02,063 - INFO - [20250823_144102_061] Starting non-streaming generation
2025-08-23 14:42:48,800 - INFO - [20250823_144102_061] Non-streaming generation completed, output length: 1427 characters
2025-08-23 14:42:48,807 - INFO - 10.0.0.61 - - [23/Aug/2025 14:42:48] "POST /chat HTTP/1.1" 200 -
2025-08-23 14:42:58,853 - INFO - [20250823_144258_853] Chat request received from 10.0.0.61
2025-08-23 14:42:58,853 - INFO - [20250823_144258_853] Request processing started
2025-08-23 14:42:58,854 - INFO - [20250823_144258_853] Template applied, prompt length: 5256 characters
2025-08-23 14:42:58,855 - INFO - [20250823_144258_853] Starting streaming generation
2025-08-23 14:42:58,855 - INFO - [20250823_144258_853] Starting model thread for streaming
2025-08-23 14:42:59,144 - INFO - 10.0.0.61 - - [23/Aug/2025 14:42:59] "POST /chat HTTP/1.1" 200 -
2025-08-23 14:42:59,887 - INFO - [20250823_144258_853] Streaming chunk 10, content:  ...
2025-08-23 14:43:00,137 - INFO - [20250823_144258_853] Streaming chunk 20, content: i...
2025-08-23 14:43:00,636 - INFO - [20250823_144258_853] Streaming chunk 30, content: u...
2025-08-23 14:43:01,128 - INFO - [20250823_144258_853] Streaming chunk 40, content: c...
2025-08-23 14:43:01,622 - INFO - [20250823_144258_853] Streaming chunk 50, content:  ...
2025-08-23 14:43:01,870 - INFO - [20250823_144258_853] Streaming chunk 60, content: r...
2025-08-23 14:43:02,117 - INFO - [20250823_144258_853] Streaming chunk 70, content: o...
2025-08-23 14:43:02,611 - INFO - [20250823_144258_853] Streaming chunk 80, content:  ...
2025-08-23 14:43:04,343 - INFO - [20250823_144258_853] Streaming chunk 90, content: 4...
2025-08-23 14:43:05,096 - INFO - [20250823_144258_853] Streaming chunk 100, content: e...
2025-08-23 14:43:05,344 - INFO - [20250823_144258_853] Streaming chunk 110, content: u...
2025-08-23 14:43:06,083 - INFO - [20250823_144258_853] Streaming chunk 120, content: a...
2025-08-23 14:43:06,340 - INFO - [20250823_144258_853] Streaming chunk 130, content: o...
2025-08-23 14:43:06,828 - INFO - [20250823_144258_853] Streaming chunk 140, content: s...
2025-08-23 14:43:07,085 - INFO - [20250823_144258_853] Streaming chunk 150, content: m...
2025-08-23 14:43:07,577 - INFO - [20250823_144258_853] Streaming chunk 160, content:  ...
2025-08-23 14:43:08,080 - INFO - [20250823_144258_853] Streaming chunk 170, content: a...
2025-08-23 14:43:08,578 - INFO - [20250823_144258_853] Streaming chunk 180, content: t...
2025-08-23 14:43:09,075 - INFO - [20250823_144258_853] Streaming chunk 190, content: i...
2025-08-23 14:43:09,821 - INFO - [20250823_144258_853] Streaming chunk 200, content: ....
2025-08-23 14:43:10,570 - INFO - [20250823_144258_853] Streaming chunk 210, content: I...
2025-08-23 14:43:11,317 - INFO - [20250823_144258_853] Streaming chunk 220, content: c...
2025-08-23 14:43:11,820 - INFO - [20250823_144258_853] Streaming chunk 230, content: h...
2025-08-23 14:43:12,320 - INFO - [20250823_144258_853] Streaming chunk 240, content: n...
2025-08-23 14:43:12,813 - INFO - [20250823_144258_853] Streaming chunk 250, content:  ...
2025-08-23 14:43:12,825 - INFO - [20250823_144258_853] Streaming chunk 260, content: s...
2025-08-23 14:43:13,566 - INFO - [20250823_144258_853] Streaming chunk 270, content: n...
2025-08-23 14:43:13,819 - INFO - [20250823_144258_853] Streaming chunk 280, content: r...
2025-08-23 14:43:14,567 - INFO - [20250823_144258_853] Streaming chunk 290, content: e...
2025-08-23 14:43:14,819 - INFO - [20250823_144258_853] Streaming chunk 300, content: d...
2025-08-23 14:43:15,326 - INFO - [20250823_144258_853] Streaming chunk 310, content: i...
2025-08-23 14:43:15,573 - INFO - [20250823_144258_853] Streaming chunk 320, content: s...
2025-08-23 14:43:16,317 - INFO - [20250823_144258_853] Streaming chunk 330, content: _...
2025-08-23 14:43:17,071 - INFO - [20250823_144258_853] Streaming chunk 340, content: l...
